,Results,lon,lat
0,"[0.6448648415523123, 0.20719549381305694, 0.03650115213406036, 8.942648622319426e-06, 3.170041743579315e-06, 0.11142639981020451]",-77.91427320000001,48.717724100000005
1,"[0.6448648415523123, 0.20719549381305694, 0.03650115213406036, 8.942648622319426e-06, 3.170041743579315e-06, 0.11142639981020451]",-77.91427320000001,48.717724100000005
2,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.65270165,45.55930765
3,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.1589382,46.809689399999996
4,"[0.6243926162573318, 0.23217126963619292, 0.055978680317786425, 1.708841308829233e-05, 2.6319639637686936e-06, 0.08743771341163684]",-74.4707874,45.6945241
5,"[0.6331948245644725, 0.21068241067498814, 0.051271832914237515, 9.703410052771474e-06, 2.7834483019902235e-06, 0.10483844498794709]",-72.8837724,45.876807299999996
6,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-70.988292,46.4801868
7,"[0.6050820789485647, 0.25509092516307535, 0.03461245202957768, 1.1704250948533556e-05, 3.093798817606004e-06, 0.10519974580901618]",-73.875834,45.313977799999996
8,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.19324959999999,46.8594456
9,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-73.20830409999999,46.0886062
10,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.66815150000001,45.5544766
11,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-72.5628566,45.189207
12,"[0.609813884601551, 0.24529265017746293, 0.04360639919265896, 1.9501629717025122e-05, 4.511993709940953e-06, 0.1012630524049002]",-73.46789040000002,45.4554829
13,"[0.609813884601551, 0.24529265017746293, 0.04360639919265896, 1.9501629717025122e-05, 4.511993709940953e-06, 0.1012630524049002]",-73.2932002,45.447389799999996
14,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.29103006,46.895861100000005
15,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-73.7524319,45.3619066
16,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.12352614,48.337024799999995
17,"[0.5710260450629792, 0.37410699662381275, 0.0004728247961775676, 4.931355968387312e-06, 2.2173363167209135e-06, 0.054386984824745375]",-71.827927,45.243228
18,"[0.5600977346407393, 0.34766171259321943, 0.007396323852645433, 5.358410927690066e-06, 8.150333773509161e-07, 0.08483805546909072]",-72.45271059999999,45.865091299999996
19,"[0.6377352169242647, 0.16725536087473988, 0.0684339105750143, 8.573496397233578e-05, 4.714031862363943e-05, 0.1264426363433851]",-65.75277779999999,48.658055600000004
