,Election Date,Province,Riding,lat,lon,Results,Liberal,Conservative,NDP,Green,Bloc,Other
32,1997-06-02,Quebec,JONQUIÈRE,48.413538700000004,-71.25392459999999,[0.1442 0.3494 0.0104 0.     0.4857 0.0103],0.1442,0.3494,0.0104,0,0.4857,0.0103
33,1997-06-02,Quebec,KAMOURASKA--RIVIÈRE-DU-LOUP--TÉMISCOUATA--LES BASQUES,47.468099200000005,-69.7909498,[0.3271 0.2693 0.0097 0.     0.3827 0.0111],0.3271,0.2693,0.0097,0,0.38270000000000004,0.0111
34,1997-06-02,Quebec,LAC-SAINT-JEAN,48.58333595,-72.0048796541929,[0.21   0.1431 0.0116 0.     0.6353 0.    ],0.21,0.1431,0.0116,0,0.6353,0
35,1997-06-02,Quebec,LAC-SAINT-LOUIS,45.38068955,-73.83285544040109,[0.6902 0.2081 0.0251 0.     0.0704 0.0063],0.6901999999999999,0.20809999999999998,0.025099999999999997,0,0.0704,0.0063
36,1997-06-02,Quebec,LASALLE--ÉMARD,45.4325141,-73.6292667,[0.6087 0.1214 0.0173 0.     0.244  0.0085],0.6087,0.12140000000000001,0.0173,0,0.244,0.0085
37,1997-06-02,Quebec,LAURENTIDES,46.6070866,-75.12097820758079,[0.3042 0.225  0.0135 0.     0.4573 0.    ],0.3042,0.225,0.013500000000000002,0,0.4573,0
38,1997-06-02,Quebec,LAURIER--SAINTE-MARIE,46.770621399999996,-71.28463173489459,[0.2296 0.1196 0.0449 0.024  0.5465 0.0353],0.2296,0.11960000000000001,0.0449,0.024,0.5465,0.0353
39,1997-06-02,Quebec,LAVAL CENTRE,45.60558895,-73.7344173056906,[0.3535 0.2295 0.0208 0.     0.3962 0.    ],0.35350000000000004,0.22949999999999998,0.0208,0,0.3962,0
40,1997-06-02,Quebec,LAVAL EAST,45.60558895,-73.7344173056906,[0.3211 0.2816 0.0127 0.     0.3846 0.    ],0.3211,0.2816,0.0127,0,0.3846,0
41,1997-06-02,Quebec,LAVAL WEST,45.3477001,-73.72444619031471,[0.489  0.1916 0.0166 0.     0.3028 0.    ],0.489,0.1916,0.0166,0,0.3028,0
42,1997-06-02,Quebec,LÉVIS,46.7910096,-71.17532740000001,[0.28   0.2374 0.0305 0.     0.4522 0.    ],0.28,0.23739999999999997,0.0305,0,0.4522,0
43,1997-06-02,Quebec,LONGUEUIL,45.5172382,-73.44674659999998,[0.2909 0.1862 0.0205 0.     0.5024 0.    ],0.2909,0.1862,0.020499999999999997,0,0.5024000000000001,0
44,1997-06-02,Quebec,LOTBINIÈRE,46.5473036,-71.52394509999999,[0.2854 0.2749 0.0126 0.     0.3707 0.0564],0.2854,0.2749,0.0126,0,0.37070000000000003,0.0564
45,1997-06-02,Quebec,LOUIS-HÉBERT,45.5455196,-73.59288215010329,[0.3362 0.2364 0.0196 0.     0.3985 0.0094],0.3362,0.2364,0.0196,0,0.3985,0.009399999999999999
46,1997-06-02,Quebec,MANICOUAGAN,50.43566920000001,-68.7676678,[0.4116 0.0775 0.0402 0.     0.4707 0.    ],0.41159999999999997,0.0775,0.04019999999999999,0,0.4707,0
47,1997-06-02,Quebec,MATAPÉDIA--MATANE,48.4079152,-67.1141862,[0.3013 0.2281 0.0119 0.     0.4479 0.0108],0.3013,0.2281,0.011899999999999999,0,0.44789999999999996,0.0108
